207.46.13.32 - - [14/Dec/2015:03:37:45 -0800] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
208.122.6.102 - - [14/Dec/2015:03:38:09 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
54.92.200.19 - - [14/Dec/2015:03:42:05 -0800] "HEAD /css/style.css HTTP/1.1" 404 0 "-" "Typhoeus - https://github.com/typhoeus/typhoeus" "www.superior-dentistry.com"
54.92.200.19 - - [14/Dec/2015:03:42:05 -0800] "HEAD /Patient-Before-After-Gallery.html HTTP/1.1" 200 0 "-" "Typhoeus - https://github.com/typhoeus/typhoeus" "www.superior-dentistry.com"
54.92.200.19 - - [14/Dec/2015:03:42:05 -0800] "HEAD / HTTP/1.1" 200 0 "-" "Typhoeus - https://github.com/typhoeus/typhoeus" "www.superior-dentistry.com"
54.198.92.99 - - [14/Dec/2015:03:42:06 -0800] "HEAD /contact-us.php HTTP/1.1" 404 0 "-" "Typhoeus - https://github.com/typhoeus/typhoeus" "www.superior-dentistry.com"
54.144.8.220 - - [14/Dec/2015:03:42:06 -0800] "HEAD /index.php HTTP/1.1" 404 0 "-" "Typhoeus - https://github.com/typhoeus/typhoeus" "www.superior-dentistry.com"
54.198.92.99 - - [14/Dec/2015:03:42:06 -0800] "HEAD /Dental-Links.html HTTP/1.1" 200 0 "-" "Typhoeus - https://github.com/typhoeus/typhoeus" "www.superior-dentistry.com"
54.198.92.99 - - [14/Dec/2015:03:42:06 -0800] "HEAD /treatment.php HTTP/1.1" 200 0 "-" "Typhoeus - https://github.com/typhoeus/typhoeus" "www.superior-dentistry.com"
54.144.8.220 - - [14/Dec/2015:03:42:06 -0800] "HEAD / HTTP/1.1" 200 0 "-" "Typhoeus - https://github.com/typhoeus/typhoeus" "www.superior-dentistry.com"
199.16.156.126 - - [14/Dec/2015:03:42:06 -0800] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
54.163.11.138 - - [14/Dec/2015:04:21:07 -0800] "GET / HTTP/1.1" 200 38156 "http://www.jayde.com/health/dentistry.html/?ds=270" "Scrapy/1.0.3.post6+g2d688cd (+http://scrapy.org)" "superior-dentistry.com"
69.30.198.178 - - [14/Dec/2015:04:31:15 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "superior-dentistry.com"
69.30.198.178 - - [14/Dec/2015:04:31:18 -0800] "GET /%E2%80%9Dhttp://www.nicedentist.com HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "superior-dentistry.com"
157.55.39.254 - - [14/Dec/2015:04:35:33 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
208.122.6.102 - - [14/Dec/2015:04:39:10 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
157.55.39.254 - - [14/Dec/2015:04:40:42 -0800] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0;  http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
199.30.25.109 - - [14/Dec/2015:04:40:44 -0800] "GET /img/logo.jpg HTTP/1.1" 200 139628 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 BingPreview/1.0b" "www.superior-dentistry.com"
