124.253.125.75 - - [03/Mar/2016:05:28:47 -0800] "GET / HTTP/1.1" 200 38156 "http://www.superior-dentistry.com/" "Microsoft-WebDAV-MiniRedir/5.1.2600" "www.superior-dentistry.com"
124.253.125.75 - - [03/Mar/2016:05:29:00 -0800] "GET /readme-ical.txt HTTP/1.1" 404 89 "http://www.superior-dentistry.com/readme-ical.txt" "Microsoft-WebDAV-MiniRedir/5.1.2600" "www.superior-dentistry.com"
124.253.125.75 - - [03/Mar/2016:05:29:22 -0800] "GET /yeager/COPYRIGHT.txt HTTP/1.1" 404 89 "http://www.superior-dentistry.com/yeager/COPYRIGHT.txt" "Microsoft-WebDAV-MiniRedir/5.1.2600" "www.superior-dentistry.com"
52.3.146.92 - - [03/Mar/2016:05:43:58 -0800] "GET / HTTP/1.1" 200 38156 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [03/Mar/2016:05:44:01 -0800] "GET / HTTP/1.1" 200 38156 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [03/Mar/2016:05:44:04 -0800] "GET /firstvisit.html HTTP/1.1" 200 24042 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [03/Mar/2016:05:44:05 -0800] "GET /Patient-Before-After-Gallery.html HTTP/1.1" 200 23787 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [03/Mar/2016:05:44:07 -0800] "GET /blog.php HTTP/1.1" 200 103129 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [03/Mar/2016:05:44:09 -0800] "GET /contact-us.html HTTP/1.1" 200 23726 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [03/Mar/2016:05:44:11 -0800] "GET /contact-us.php HTTP/1.1" 200 73 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [03/Mar/2016:05:44:17 -0800] "GET /Dentist-Bowie-MD/Dental-Implants-Maryland-MD.html HTTP/1.1" 200 33055 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
