103.62.138.31 - - [25/Feb/2016:00:58:11 -0800] "GET //theme.css HTTP/1.1" 200 1926 "http://www.superior-dentistry.com//contact-us.html" "Mozilla/5.0 (Windows NT 6.1; rv:44.0) Gecko/20100101 Firefox/44.0" "www.superior-dentistry.com"
103.62.138.31 - - [25/Feb/2016:00:58:11 -0800] "GET //css/bootstrap.css HTTP/1.1" 200 138415 "http://www.superior-dentistry.com//contact-us.html" "Mozilla/5.0 (Windows NT 6.1; rv:44.0) Gecko/20100101 Firefox/44.0" "www.superior-dentistry.com"
103.62.138.31 - - [25/Feb/2016:00:58:12 -0800] "GET //css/font-awesome.css HTTP/1.1" 200 28747 "http://www.superior-dentistry.com//contact-us.html" "Mozilla/5.0 (Windows NT 6.1; rv:44.0) Gecko/20100101 Firefox/44.0" "www.superior-dentistry.com"
103.62.138.31 - - [25/Feb/2016:00:58:12 -0800] "GET //js/ie-emulation-modes-warning.js HTTP/1.1" 200 2132 "http://www.superior-dentistry.com//contact-us.html" "Mozilla/5.0 (Windows NT 6.1; rv:44.0) Gecko/20100101 Firefox/44.0" "www.superior-dentistry.com"
103.62.138.31 - - [25/Feb/2016:00:58:14 -0800] "GET //js/ie10-viewport-bug-workaround.js HTTP/1.1" 200 694 "http://www.superior-dentistry.com//contact-us.html" "Mozilla/5.0 (Windows NT 6.1; rv:44.0) Gecko/20100101 Firefox/44.0" "www.superior-dentistry.com"
103.62.138.31 - - [25/Feb/2016:00:58:14 -0800] "GET //js/docs.min.js HTTP/1.1" 200 43299 "http://www.superior-dentistry.com//contact-us.html" "Mozilla/5.0 (Windows NT 6.1; rv:44.0) Gecko/20100101 Firefox/44.0" "www.superior-dentistry.com"
103.62.138.31 - - [25/Feb/2016:00:58:41 -0800] "GET //img/contact-img.jpg HTTP/1.1" 200 83148 "http://www.superior-dentistry.com//contact-us.html" "Mozilla/5.0 (Windows NT 6.1; rv:44.0) Gecko/20100101 Firefox/44.0" "www.superior-dentistry.com"
103.62.138.31 - - [25/Feb/2016:00:58:51 -0800] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 200 56780 "http://www.superior-dentistry.com//css/font-awesome.css" "Mozilla/5.0 (Windows NT 6.1; rv:44.0) Gecko/20100101 Firefox/44.0" "www.superior-dentistry.com"
199.59.148.209 - - [25/Feb/2016:00:59:35 -0800] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
103.62.138.31 - - [25/Feb/2016:00:59:35 -0800] "GET /img/zocdoc-apt.jpg HTTP/1.1" 200 79396 "http://www.superior-dentistry.com//contact-us.html" "Mozilla/5.0 (Windows NT 6.1; rv:44.0) Gecko/20100101 Firefox/44.0" "www.superior-dentistry.com"
