198.245.49.215 - - [14/Sep/2016:02:07:11 -0700] "GET /Patient-Before-After-Gallery.html HTTP/1.1" 200 23825 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
198.245.49.215 - - [14/Sep/2016:02:07:12 -0700] "GET /services.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
5.255.250.28 - - [14/Sep/2016:02:16:13 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.superior-dentistry.com"
141.8.143.203 - - [14/Sep/2016:02:16:16 -0700] "GET /index.html HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.superior-dentistry.com"
54.242.164.91 - - [14/Sep/2016:02:42:35 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (X11; Linux x86_64)AppleWebKit/537.36 (KHTML, like Gecko)Chrome/43.0.2357.134 Safari/537.36http://notifyninja.com/monitoring" "superior-dentistry.com"
198.16.7.150 - - [14/Sep/2016:02:44:40 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
163.172.65.242 - - [14/Sep/2016:02:48:29 -0700] "GET /Dentist-Bowie-MD/Dental-Implants-Maryland-MD.html HTTP/1.1" 200 32074 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.1; +http://ahrefs.com/robot/)" "www.superior-dentistry.com"
178.137.164.15 - - [14/Sep/2016:02:57:24 -0700] "GET / HTTP/1.1" 200 38900 "http://sochi.xrus.org/" "Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; T312461)" "www.superior-dentistry.com"
178.137.164.15 - - [14/Sep/2016:02:57:25 -0700] "GET / HTTP/1.1" 200 38900 "http://sochi.xrus.org/" "Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; T312461)" "www.superior-dentistry.com"
178.137.164.15 - - [14/Sep/2016:02:57:25 -0700] "GET / HTTP/1.1" 200 38900 "http://sochi.xrus.org/" "Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; T312461)" "www.superior-dentistry.com"
